 1789.2	   97.5	0.88	17MAR15
 1787.4	  284.8	0.96	FT1507691890L77
 1787.4	  439.5	0.92	Account Transler
 1789.2	  581.0	0.93	17MAR15
 1788.6	  739.3	0.97	10,000.00
 1790.4	 1068.0	0.91	37,572.51
 1814.4	  421.4	0.95	CASHPAID
 1844.4	   96.9	0.97	20MAR15
 1843.8	  286.6	0.92	FT1507907512B96
 1843.8	  407.6	0.84	Tronsfec
 1844.4	  580.3	0.98	20MAR15
 1845.6	  898.2	0.87	6,410.18
 1846.8	 1068.0	0.97	44,082.69
 1873.2	   95.7	0.96	01APR15
 1871.4	  285.4	0.99	FT1509102334L77
 1871.4	  579.7	0.87	C1APR15
 1872.6	  738.7	0.93	20,000.00
 1874.4	 1068.0	0.88	24,082.09
 1899.0	  421.4	0.95	CASHPAID
 1929.6	   95.7	0.97	24APR15
 1927.8	  287.8	0.93	FT15114200221000
 1928.4	  408.2	0.92	Transler
 1928.4	  580.3	0.96	24APR15
 1929.6	 1068.0	0.90	31,379.90
 1957.1	   96.9	0.94	29MAY15
 1955.3	  287.2	0.88	FT15149667251896
 1954.7	  408.8	0.83	Transler
 1955.9	  581.0	0.96	20MAY15
 1957.1	  896.4	0.95	6,422.37
 1957.1	 1067.4	0.96	37,802.35
 2012.9	 1149.3	0.75	Page1d4
